what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343375855731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343375857308
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1343375857386
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343375858308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343375861416
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343375868320
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343375873959
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343375892250
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343375892344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343375892422
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1343375892500
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343375893266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343375895968
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343375917899
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343375917945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343375917992
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1343375918039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343375922569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343375922913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343376000060
